x_utm,y_utm,lon,lat,height_m,crown_radius_m,bucket
551203.38,4162696.09,-122.4198622,37.6099346,50.4,14.0,tall
551238.38,4162710.09,-122.4194646,37.6100588,50.3,7.6,tall
551260.38,4162712.09,-122.4192153,37.6100756,49.6,8.2,tall
551267.38,4162725.09,-122.419135,37.6101924,49.1,7.5,tall
551293.38,4162743.09,-122.4188392,37.6103532,49.1,14.0,tall
551224.38,4162724.09,-122.4196223,37.6101858,48.9,7.9,tall
551234.38,4162694.09,-122.4195111,37.6099148,48.8,13.7,tall
551237.38,4162703.09,-122.4194765,37.6099958,48.6,4.7,tall
551246.38,4162696.09,-122.419375,37.6099322,48.2,7.2,tall
551274.38,4162749.09,-122.419054,37.6104083,48.2,10.8,tall
551276.38,4162734.09,-122.4190324,37.610273,48.2,4.7,tall
551201.38,4163067.09,-122.4198588,37.6132785,48.1,14.0,tall
551243.38,4162703.09,-122.4194085,37.6099955,48.1,7.4,tall
551194.38,4162698.09,-122.419964,37.6099531,47.8,8.5,tall
551206.38,4162708.09,-122.4198273,37.6100426,47.7,9.1,tall
551947.38,4162050.09,-122.4114789,37.6040704,47.3,14.0,tall
551275.38,4162742.09,-122.4190432,37.6103452,47.2,6.0,tall
551331.38,4162733.09,-122.4184094,37.6102609,47.1,14.0,tall
551241.38,4162719.09,-122.41943,37.6101398,47.0,4.3,tall
551255.38,4162726.09,-122.4192709,37.6102021,46.9,8.6,tall
551214.38,4162706.09,-122.4197368,37.6100241,46.9,4.2,tall
551212.38,4162713.09,-122.419759,37.6100873,46.9,8.7,tall
551248.38,4162711.09,-122.4193513,37.6100673,46.7,5.0,tall
551284.38,4162723.09,-122.4189426,37.6101734,46.5,8.7,tall
551297.38,4162707.09,-122.4187964,37.6100285,46.3,14.0,tall
551270.38,4162710.09,-122.4191021,37.610057,46.2,10.3,tall
551225.38,4162743.09,-122.4196096,37.610357,46.2,7.2,tall
551232.38,4162726.09,-122.4195315,37.6102034,46.1,10.7,tall
551328.38,4162717.09,-122.4184445,37.6101169,46.1,14.0,tall
551275.38,4162721.09,-122.4190447,37.6101559,46.0,5.6,tall
551262.38,4162736.09,-122.4191909,37.6102918,45.9,11.8,tall
551287.38,4162732.09,-122.418908,37.6102544,45.7,5.2,tall
551229.38,4162707.09,-122.4195668,37.6100323,45.7,4.5,tall
551253.38,4162734.09,-122.419293,37.6102743,45.6,4.3,tall
551286.38,4162750.09,-122.418918,37.6104167,45.6,7.3,tall
551217.38,4162690.09,-122.419704,37.6098797,45.6,10.6,tall
551318.38,4162717.09,-122.4185578,37.6101175,45.5,3.8,tall
551314.38,4162726.09,-122.4186025,37.6101988,45.5,12.3,tall
551196.38,4162998.09,-122.4199203,37.6126569,45.4,14.0,tall
551221.38,4162701.09,-122.4196579,37.6099787,45.1,6.9,tall
551271.38,4162763.09,-122.4190871,37.6105347,44.5,7.1,tall
551190.38,4162716.09,-122.420008,37.6101156,44.4,8.6,tall
551221.38,4162751.09,-122.4196544,37.6104293,44.1,10.6,tall
551302.38,4162697.09,-122.4187405,37.6099381,44.1,13.4,tall
551215.38,4162746.09,-122.4197227,37.6103846,43.7,5.0,tall
551259.38,4162770.09,-122.4192225,37.6105984,43.3,10.5,tall
551943.38,4162061.09,-122.4115234,37.6041698,43.1,8.2,tall
551940.38,4162066.09,-122.411557,37.604215,43.0,9.7,tall
551246.38,4162758.09,-122.4193706,37.610491,43.0,9.3,tall
551952.38,4162154.09,-122.4114148,37.6050075,42.9,14.0,tall
551254.38,4162761.09,-122.4192798,37.6105176,42.9,7.0,tall
